Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Promises Promises	New Aeon	NA115	Adventure	Corrupt Adventure		6	2												C	"Calling yourself a Reverend, you use your power of MENTAL SUGGESTION over your gullible flock. They actually believe that the secret of eternal happiness can be found on a planet circling SIRIUS! You hold rituals at the rented CARLYLE HOUSE MUSEUM, keep them isolated in the COUNTRY LOCATION, empty their BANK VAULT and take everything they own (TWO ARTIFACTS or TOMES). Now they will follow you anywhere, even unto death (EVENT that affects opponent's ally)"
Today's Tabloid Headlines	New Aeon	NA116	Adventure	Mythos Experience		6	2												U	Mysterious CROP CIRCLES Reveal Cancer Cure! Alien UFO Secretly Held at AREA 51! POLICE DETECTIVE Escapes Gruesome ALIEN ABDUCTION! Experimental ANTI-GRAVITY HARNESS Fails Secret Government Test. Alien Spacecraft Destroyed In Midair - TWO BUSINESSES Burned By Fallen Wreckage!
With Neighbours Like Theseà 	New Aeon	NA117	Adventure	Mythos Experience		7	2												C	"You saw trouble coming when those folk moved into the House next door, from some odd COUNTRY LOCATION. The TELEVISION constantly blares, the eldest kid sawed through your fence with a CHAINSAW, and the young one built a homemade FRAGMENTATION GRENADE. The parents are nothing but T.V. ZOMBIES. You asked for a POLICE INVESTIGATION but when the husband found out he got his gun and began GOING POSTAL. Now, you learn that a GOVERNMENT agency is investigating you!"
Yuggoth Attacks!	New Aeon	NA118	Adventure	Quest		9	4												R	"Like a SWARM OF INSECTS your hunting party of at least TWO different MI-GO landed near the naked ape settlement (TOWN or VILLAGE). The apes and their FAITHFUL HOUNDS put up a SIRIUS fight at the CHURCH, but were no match for your blazing rayguns (ENCHANTED WEAPON). The ape you captured, whose mind is now trapped in you MI-GO BRAINCASE, faces his worst NIGHTMARE and will fetch a high price back on YUGGOTH!"
Alex Cordry	New Aeon	NA201	Ally	Steadfast Explorer	"English, Binary"	1	1			NA	New Aeon	New York							R	Alex Cordry can join with any one 
Brother of the Yellow Sign	New Aeon	NA202	Ally	Corrupt Cultist & Artist	"French, German & Italian"	1	-1		Yes	NA	New Aeon	Rome							C	Can know two Yellow Sign Spells; can know any Spell otherwise. Bury Spell after it is cast.
Delta Green Alpha Squad	New Aeon	NA203	Ally	Steadfast Soldier	English	3				NA	New Aeon	Washingtom D.C.							R	Joins with Weapons at Artifact Locations
Dr. Carl Jung	New Aeon	NA204	Ally	Steadfast Doctor	German	1					Any Sanitarium								R	Can be played at either Waking World or New Aeon Locations. You may Bury a Phobia in the same Turn that a Sanitarium becomes your Current Location
Dr. Carlos MacDonald	New Aeon	NA205	Ally	Steadfast Doctor	English	2				NA	New Aeon	New York							U	This Doctor and one Ally of your choice are excluded when determing the results of an Epidemic
G.G. D'Arn	New Aeon	NA206	Ally	Steadfast Reporter	"English, French & Chinese"	1	1			NA	New Aeon	New York							R	
Giovanni Angellis	New Aeon	NA207	Ally	Steadfast Police Detective	Italian	3				NA	New Aeon	Rome							C	Add 1 point to the value of this card if there are Attributes: Corrupt Allies among those opposing him in Combat.
Haz-Mat Team	New Aeon	NA208	Ally	Steadfast Worker	English	2				NA	New Aeon	Any Government							C	Add 2 points to the value of this card when your Current Location has the government attribute.
Henri Zann	New Aeon	NA209	Ally	Steadfast Artist	French & Glyph	2	1			NA	New Aeon	Paris							R	
High Priest of Elvis	New Aeon	NA210	Ally	Steadfast Cultist	English & Atlantean	1			Yes	NA	Any Exotic								R	Play only at an Exotic Location. Bury this card to choose one Great Old One or Outer God from your Story Deck and immediately play it.
Howard Lovecraft (v3)	New Aeon	NA211	Ally	Steadfast Author & Scientist	"English, Hyperborean & Binary"	1				NA	Any New Aeon								C	"Bury any Howard Lovecraft currently in play, for all Investigators"
Joe Schienfeld	New Aeon	NA212	Ally	Corrupt Entertainer	English	2				NA	New Aeon	Kingsport							R	"As your Turn, you may Discard two cards from your Hand and draw a new card from the top of your Mythos Deck"
Johnny Booger	New Aeon	NA213	Ally	Steadfast Musician	"English, French, German"	2				NA	New Aeon	Paris							C	
Napoleon Whateley	New Aeon	NA214	Ally	Steadfast Police Detective	English	3				NA	New Aeon	New York							C	"Protection from Alien Abduction and from cards that cuase you to lose Artifacts and Tomes. At the moment that you would lose an Artifact or Tome, you may chose to Vury this card instead. Your opponent must then Bury his or her card"
Nikola Tesla	New Aeon	NA215	Ally	Steadfast Inventor & Scientist	English & German	1				NA	Any Artifact								C	"Play in either the Waking World or New Aeon. At an Artifact Gate Location you may place an Artifact from any Dimension beneath this card. If this card is lost, the Artifact suffers the same fate. The Artifact can be replaced with another, if lost."
Ozzy Orne	New Aeon	NA216	Ally	"Corrupt Cultist, Musician & Living Dead, "	English	1			Yes	NA	New Aeon	Kingsport							C	Can know one spell. Bury spell after it is cast.
Patricia Bridgitte Jodoin	New Aeon	NA217	Ally	Corrupt Dreamer & Occultist	"French, Glyph"	1				NA	New Aeon	Paris							C	"While this card is in play, you may use a Gate to play Men In Black as Allies"
Professor L.N. Isinwyll	New Aeon	NA218	Ally	Steadfast Professor & Dre	"English, Latin & Glyph"	1				NA	New Aeon	Any Tome							C	
Reverend Baxter Lully	New Aeon	NA219	Ally	Corrupt Cultist & Priest	English & Latin	2					New Aeon	Washingtom D.C.							C	"Flip this card to give your Current Location the Church attribute. During each additional Turn that you remain in this Location and that Reverend Baxter Lully remains Flipped, you may Bury one Phobia affecting your Investigator"
Robert Bloch	New Aeon	NA220	Ally	Steadfast Author	English & Atlantean	1	1				New Aeon	Any Site							U	
Sandy Petersen	New Aeon	NA221	Ally	Steadfast Author	"English, Glyph & Binary"	2				NA	New Aeon	Any Outside							C	
Shariil Sophast	New Aeon	NA222	Ally	Steadfast Spiritualist	"English, French"	2				NA	New Aeon	Paris							R	Bury this card to remove the Gate attribute from your opponent's Current Location
Toodee-6	New Aeon	NA223	Ally	Corrupt Worker	Binary	3	-1			NA	New Aeon	Any Government							U	"Toodee-6 can see Invisible Monsters, can not be given Weapons, and is immune to Epidemics. Bury Toodee-6 during Combat only if it takes its full card value in Sanity loss."
Turquoise Skyhawk	New Aeon	NA224	Ally	Steadfast Spiritualist	English	1			Yes	NA	New Aeon	Kingsport							U	"Discard this card and gain 3 Sanity points, but reveal the top card of your Mythos Deck. Apply any Sanity gain or loss indicated in the pentagram on the card, then Discard it."
Anti-Gravity Harness 	New Aeon	NA301	Artifact							NA									C	"Costs 2 Sanity points to use. Travel to any Location in the same Dimension, as if Walking. May Travel between Regions and to Space Locations, but not to other Exotic Locations "
Bank Vault 	New Aeon	NA302	Artifact																C	"On a Turn following the play of this card, place 1-3 Tomes or Artifacts from your Hand face-down beneath the Bank Vault (max 3). Cards are not in play. Bury this card to return cards to your Hand. Cards are Discarded if this card is lost. "
Black Belt 	New Aeon	NA303	Artifact	Weapon		1													R	Add 1 point to Ally's value. During Combat Ally is Buried only if he or she takes full card value in Sanity loss. If Ally is lost this card suffers the same fate. 
Bulletproof Vest 	New Aeon	NA304	Artifact							NA									R	"Give this card to one of your Allies in play. As long as you have other Allies in play, exclude Ally with Vest when you must randomly choose an Ally "
Chainsaw 	New Aeon	NA305	Artifact	Weapon		2				NA									C	Add 2 points to Ally's value. You may add Ally to a Threat in the Commit Allies phase of Combat. 
Cloning Chamber 	New Aeon	NA306	Artifact				-1			NA									R	"Give this card to an Ally in play (except Living Dead). You may have more than one copy of that Ally card in play. If this card is lost, clones remain in play. "
Cthulhu Statuette 	New Aeon	NA307	Artifact																C	"Costs 1 Sanity point to use. May only be used during Combat. Change the nature of one Ally in Combat. If not Defending may now become a Defending Ally. If already Defending may become non-Defending, or may Defend against a different Directed Threat. "
Disturbing Portrait 	New Aeon	NA308	Artifact				-1												C	"This card has constant effect. While in the New Aeon, you may find Waking World Allies from your current subregion. "
Emergency Medical Equipment 	New Aeon	NA309	Artifact							NA									U	Bury this card to cancel the effects of a card played since your last Turn that would otherwise cause you to Bury or Discard an Ally or Allies. 
Fragmentation Grenade 	New Aeon	NA310	Artifact	Weapon		1				NA									C	"Add 1 point to Ally's value. If Ally is Discarded or Buried, this Weapon suffers the same fate.During Combat Bury this card to Bury one non-Defending Ally. "
Laptop Computer	New Aeon	NA311	Artifact							NA									C	Knows Binary. Can know any one Spell. Bury Spell in your Story Deck after it is cast. Joins with The Internet at Artifact/Enchantedome Locations 
M16 Assault Rifle 	New Aeon	NA312	Artifact			3				NA									C	Add 3 points to Ally's Value; Ally is now Steadfast. If Ally is Discarded or Buried this card suffers the same fate. 
Plastic Explosive 	New Aeon	NA313	Artifact			4				NA									R	Add 4 points to Ally's Value. If Ally is Discarded or Buried this card suffers the same fate. Discard Plastic Explosive after use in Combat and Bury the Ally 
Radiation Suit 	New Aeon	NA314	Artifact				1			NA									R	This card has constant effect. Enchantedour Investigator is immune to any damage described as being caused by Radiation. 
Regalia of the Outer Gods	New Aeon	NA315	Artifact				-1		Yes										R	Play only at an Exotic Location. This card has constant effect. Enchantedou are not affected by any Great Old Ones and Outer Gods in play. 
Space Suit 	New Aeon	NA316	Artifact				1			NA									R	This card has constant effect. Enchantedour Investigator is able to survive in Space. 
Stealth Fighter 	New Aeon	NA317	Artifact			3	-1			NA									R	Invisible. May join a Directed Threat during the Artifacts Use phase of Combat; treat as a Lesser Servitor Monster. 
Tactical Nuclear Bomb	New Aeon	NA318	Artifact				-1		Yes										U	Discard this card to Bury all Monsters in all Threats except Great Old Ones and Outer Gods. Radiation cuases the player of this card to lose 3 additional Sanity points when it is used. 
Tank 	New Aeon	NA319	Artifact			3	-1			NA									U	May be committed to Defend against one Directed Threat during the Artifacts Use phase of Combat; counts as an Ally. Bury Tank only it if takes its full value in Sanity loss. 
Taser 	New Aeon	NA320	Artifact	Weapon		1				NA									C	"Add 1 point to Ally's value. If the Ally bearing this Weapon is lost, this card suffers the same fate. Bury this card to stun a random Monster in a Directed Threat facing your Investigator. It returns to Opponent's Hand. "
Time Machine 	New Aeon	NA321	Artifact				-1												C	"Costs 1 Sanity point to use. Flip this card and walk to any Location (except Exotic) in another Dimension. If your new Location is in the same subregion as your Current Location, you may instead play it right-side-up. "
747	New Aeon	NA401	Event	Travel by Air			1			NA									C	Play this card and immediately play a new Location in the same Region right-side-up on top of your Story Deck
Acid Rain	New Aeon	NA402	Event							NA									C	No Location bears the Forest attribute. Bury this card if any Day or Night Event is played. 
Alien Abduction 	New Aeon	NA403	Event				-1			NA									C	"Choose one Ally of up to 4 points in value (including Weapons) that your opponent must Bury . If you have Greys in play as an Ally, Bury a chosen Ally of any value. Then Bury this card. "
An Unexpected Calamity (v2)	New Aeon	NA404	Event				-1												R	"This card may only be played after one Pass has already been announced for the Round. Play this card, announce ""Pass,"" then Bury this card. Skip this Round's Combat and go directly to End Of Round. "
Bibliophobia 	New Aeon	NA405	Event	Phobia															R	Fear of books. Lose 1 Sanity point at the beginning of each Turn that your Current Location features the Tome attribute. 
Blackout 	New Aeon	NA406	Event	Night															C	It is now night. Bury any Day or Night Event in play. Each opponent loses 1 Sanity point if their Current Location features the City attribute when this card is played. 
Blink of an Eye 	New Aeon	NA407	Event																C	"Play this card, and the pass by a player on an earlier Turn is voided - no Passes have been announced for the the current Round. You may immediately play a second card. Then, Bury this card "
Crop Circles 	New Aeon	NA408	Event							NA									U	You may only play this card if your Current Location features the Outside attribute. Immediately play one Monster to your Threat. Then Bury this card. 
Cthulhu For President 	New Aeon	NA409	Event	Star						Dl									U	Bury all Star Events in play. If a card is played that would Bury a GOO Bury this card instead.You may Bury this card instad of rotating or Burying a GOO at the end of the Round. 
Daybreak 	New Aeon	NA410	Event	Day															C	It is now Day. Bury any Day or Night Event in Play. Flip one chosen Ally of one Opponent. 
Ebola Virus 	New Aeon	NA411	Event	Epidemic			-2			NA									U	Discard a random Ally of chosen opponent. Each other player's Investigator also in the same subregion must also randomly Discard one Ally. Then Bury this card. 
False Dawn 	New Aeon	NA412	Event	Night															U	It is now Night. Bury any Day or Night Event in play. Living Dead Monsters do not Join while this card is in play. 
Frivolous Lawsuit 	New Aeon	NA413	Event							NA									R	"Force an opponent to Discard one in-play card of your choice, except their Current Location or an Adventure, that fulfilled the requirements of an Adventure that was just played. Then Bury this card. "
Going Postal 	New Aeon	NA414	Event				-1			NA									C	Bury a random Ally; Discard that Ally if opponent's Current Location is a Business. Then Bury this card. 
Government Quarantine 	New Aeon	NA415	Event							NA									U	"Opponent skips the Discard phase at the end of the Round, and must keep all cards remaining in his or her Hand, even above Maximum. Bury this card at the end of the Round. "
Halitosiphobia 	New Aeon	NA416	Event	Phobia															R	"Fear of Bad Breath. If target opponent has one or more Allies in play, he or she loses 1 Sanity point at the beginning of each Turn that his or her Current Location features the Inside attribute. "
Helicopter 	New Aeon	NA417	Event	Travel by Air						NA									R	On a following Turn play a new Location in the same Region right-side-up on top of your Story Deck. You may flip face-up one card in one opponent's Threat as your Turn while this card is your Current Location 
Hitch A Ride 	New Aeon	NA418	Event	Travel by Land															C	"On a following Turn, play a new Location in the same Region, right-side up on top of your Story Deck. Hang for a Turn to play an Ally card that could be played in this Region (one Ally per Hitch a Ride). "
Hitman from Medellin 	New Aeon	NA419	Event				-1			NA									R	"Use a Gate to play this card face-down to your Threat. When revealed, each Hitman From Medellin eliminates (Buries) one random Ally, Defending or not. Joins Hitman From Medellin. "
Hydrophilia 	New Aeon	NA420	Event	Philia															C	An opponent may not play a Phobia on you while their current Location features the Water attribute. Bury this card when you play a Sanitarium or Temple. 
Ill Omen 	New Aeon	NA421	Event	Threat			-1												R	: Use a Gate to play this card face-down to your Threat. Monsters in an opposing Directed Threat are Discarded at the end of Combat instead of being Buried. 
IRS Auditor 	New Aeon	NA422	Event				-1			NA									U	"Use a Gate to play this card face-down to your Threat. When revealed, each IRS Auditor confiscates one chosen Artifact. Your opponent must Bury the card in his or her Story Deck. "
It's Full Of Stars! 	New Aeon	NA423	Event				+?		Yes										R	You may only play this card while your Current Location features the Space attribute. If your current Sanity is 1-7 gain 5 points; if 8-13 gain 3; if 14+ gain 1. Then Bury this card. 
Mechanophobia 	New Aeon	NA424	Event	Phobia															C	Fear of Machines. Lose 1 Sanity point at the beginning of each Turn that you are at an Artifact Location. 
Media Hyperbole 	New Aeon	NA425	Event																U	Opponent may not use Spells or Gates in his or her Current Location. Bury this card when opponent plays a Travel Event or arrives at a new Location. 
Motion Sickness 	New Aeon	NA426	Event																R	Each opponent that just played a Travel Event (whether or not it is still their top Story Deck card) loses 2 Sanity points. Then Bury this card
Mugging 	New Aeon	NA427	Event																C	Target Investigator loses 1 Sanity point and must remain in his or her Current Location for the next Turn but may play cards other than a new Location card or Travel Event. 
Nemesis 	New Aeon	NA428	Event	Star															C	Bury any Star Event. Any Investigator loses 1 Sanity point when he or she declares a Pass 
Nuclear Winter 	New Aeon	NA429	Event				-2			NA									R	All Investigators must Bury the top card of their Story Decks when this card is played. Bury this card if a Day or Night Even is played
Police Investigation 	New Aeon	NA430	Event																C	Bury all Weapons of target opponent that have a card value of 2 or more. Then Bury this card. 
Poltergeist 	New Aeon	NA431	Event				-1												C	You may only play this card if your Current Location features the Inside attribute. Immediately play a Monster to your Threat. Then bury this card. 
Portophilia	New Aeon	NA432	Event	Philia															C	An opponent may not play a Phobia on you while their current Location features the Gate attribute. Bury this card when you play a Sanitarium or Temple. 
Serial Killer 	New Aeon	NA433	Event																C	Target Discards his or her top Mythos Deck card at the beginning of each Turn. Bury this card once the target plays a Travel Event or arrives at a Location in a different subregion. 
Shuttle Icarus	New Aeon	NA434	Event	Travel by Space						NA									C	You may play this card only at a Space of Outside Location. On a following Turn play a new Space or Outside Location in any Region right-side-ip.
Sirius 	New Aeon	NA435	Event	Star															C	Bury all Star Events in play. All Weapons with card values of 2 points or fewer are enchanted. 
Television 	New Aeon	NA436	Event							NA									C	"Target Flips all Allies face-down. They remain so while this card is in play. Bury this card if target plays a Day Event, a Tome, or at the end of the Round. "
Terrorist Strike 	New Aeon	NA437	Event																R	"Even if already Walking, your opponent must play a Travel Event or a new Location next Turn or suffer an attack worth 5 points. Allies may defned. Then Bury this card "
Thaasophobia 	New Aeon	NA438	Event	Phobia															C	Fear of being idle. Opponent loses 1 Sanity point if he or she passes. 
Time Flux 	New Aeon	NA439	Event																U	"Using a Gate, play this card to immediately play one New Aeon Ally, Artifact, Monster, or Tome that you could otherwise play at your Current Location. Then Bury this card. "
UFO 	New Aeon	NA440	Event	Travel by Space			-1			NA									U	You must have Greys in play as an Ally to play this card. You may immediately play a new Location in any Region or Dimension (except non-space Exotic Locations) right-side-up on top of your Story Deck. 
Unexpected Eclipse 	New Aeon	NA441	Event	Day															C	"This is an Eclipse card. It is now Day, Bury all Day or Night Events and you may also Bury any one other Event card in play, except Travel Events. "
Yithian Psychic Possession 	New Aeon	NA442	Event						Yes										R	Bury an Ally that was Just Played or who was in play and whose abilites or Special Effect were just used. Then Bury this card. 
Deep One Hybrid	New Aeon	NA001	Investigator		English								15	15	12	12	3	5		You may use a Water Gate to play Deep Ones as Allies. This Investigator breathes Underwater
Diabolical Cultist	New Aeon	NA002	Investigator		"English, Latin"								12	15	9	12	4	6		You may use a Tome Gate to play Servants of the Silver Twilight as Allies. This Investigator is a Member of the Silver Twilight: gain an additional point of Sanity each time you complete a Corrupt Adventure.
Grinning Ghoul	New Aeon	NA003	Investigator		"English, French"								11	15	16	12	4	6		You may use a Cemetery Gate to play Ghouls as Allies. Reduce Directed Threat attacking this Investigator by one point when Threats are revealed if that opponent's Current Location is Underground or Cemetery.
Obsequious Televangelist	New Aeon	NA004	Investigator		"English, Latin"								14	20	10	13	4	4		"As your Turn one time during a Round, you may Discard one card and replace it with a new card drawn from your Mythos Deck."
Obsessed Agent in Mi-Go Braincase	New Aeon	NA005	Investigator		English								12	15	14	12	3	6		You may use a Country Gate to play Mi-Go as Allies. This Investigator automatically survives in Space.
Obsessed Federal Agent	New Aeon	NA006	Investigator		English								14	20	14	13	4	6		While in the New Aeon your Education rises to 18.
Pallid Programmer	New Aeon	NA007	Investigator		"English, *Binary"								12	20	13	13	3	5		While in the New Aeon this Investigator also knows Binary
Sardonic Serpentman	New Aeon	NA008	Investigator		"English, Italian"								12	15	7	12	5	7		You may use an Artifact Gate to play Serpent People as Allies. You are immune to the effects of Radiation. You do not lose Sanity points when Radiation is listed as the cause.
Skeptical Pathologist	New Aeon	NA009	Investigator		"English, French"								12	20	17	13	5	6		"As your Turn one time during a Round, you may Discard up to two cards and replace them with new cards drawn from your Mythos Deck."
Trigger-Happy Mercenary	New Aeon	NA010	Investigator		"English, Italian"								12	20	8	13	5	7		While in the New Aeon this Investigator has a Maximum of 8
Area 51 	New Aeon	NA501	Location	"Outside, Artifact, Tome, Gate, Country, Government, "			-1			NA	New Aeon	Groom Lake							C	"You may play UFO if this is your Current Location, even if you don't have Greys in play as an Ally. "
Artist Colony 	New Aeon	NA502	Location	"Water, Outside , Gate, City, Museum, Site, "						NA	New Aeon	Kingsport							U	All Artists and Authors add 1 point to their card value when this is your Current Location. 
Billington's Woods 	New Aeon	NA503	Location	"Forest, Outside, Gate, Country, Ruins, "			1			NA	New Aeon	Miskatonic Valley							C	This card also fulfills the Nemesis requirements for playing Yog-Sothoth 
Carlyle House Museum 	New Aeon	NA504	Location	"Forest, Inside, Artifact, Country, House, Museum, "						NA	New Aeon	New York							C	
Chaosium 	New Aeon	NA505	Location	"Inside, Artifact, Tome, Gate, Business, City, Press, "			-1			NA	New Aeom	Oakland							C	Your Author Allies add 1 point to their card value when this is your Current Location. 
Chrysler Building 	New Aeon	NA506	Location	"Inside, Artifact, City, Site"							New Aeon	New York							R	
Cite Tatoue 	New Aeon	NA507	Location	"Water, Inside, Tome, Gate, Business, City, "			-1			NA	New Aeom	Paris							U	Spend 1 Sanity point to tattoo (play) a Spell on any Steadfast Ally. Bury Spell when cast 
Colosseum	New Aeon	NA508	Location	"Outside, Artifact, City, Ruins, "						NA	New Aeon	Rome							C	
Cykranosh 	New Aeon	NA509	Location	"Outside, Forest, Artifact, Tome, Gate, Country, Space, Underground"			-2			NA	New Aeon	Exotic							R	Space. +1 Formless Spawn. This card fulfills Blackout requirement for Tsathoggua. Multi-dimensional.
Dawn Biozyme Research Lab 	New Aeon	NA510	Location	"Water, Inside, Artifact, Gate, City, Government, "			-1			NA	New Aeon	Kingsport							C	
DBZ Spacelab 	New Aeon	NA511	Location	"Inside, Artifact, Tome, Gate, Port, Space, "			-2			NA	Exotic								U	Your Investigator automatically survives in Space at this Location. You may play this card immediately after playing Shuttle Icarus. You may walk to Tycho Base 
Dr. MacDonald's House 	New Aeon	NA512	Location	"Forest, Water, Inside, Tome, Country, House, Sanitorium, "			5			NA	New Aeon	New York							U	Randomly Discard one card from your hand. During each additional Turn that you remain here you may Bury one Phobia affecting your Investigator. 
Eiffel Tower 	New Aeon	NA513	Location	"Outside, Artifact, Gate, City, Site, "			-1			NA	New Aeon	Paris							C	
European Space Agency 	New Aeon	NA514	Location	"Inside, Artifact, Business, Country, Government, "			1			NA	New Aeon	French Guiana							C	"While this is your Current Location, you may spend a Turn and Bury one Storm Event or Drought "
First National Grocery 	New Aeon	NA515	Location	"Inside, Water, Artifact, Business, City, "							Lovecraft	Innsmouth							R	
Fish-Head Rock	New Aeon	NA516	Location	"Outside, Water, Gate, Country, Lair, "			1				Lovecraft	Innsmouth							R	Summon Deep One. Dimensional Gate: May use Gate to play New Aeon Monsters here.
